Pitcher,PitcherThrows,PitcherTeam,TaggedPitchType,n,dre_hat_mean,run_suppress_mean,StuffPlus_mean,StuffPlus_median,RV,RelSpeed_mean,SpinRate_mean,spinDir_mean,RelHeight_mean,RelSide_mean,Extension_mean,InducedVertBreak_mean,HorzBreak_mean,delta_velo_mean,delta_IVB_mean,delta_HB_mean,RV/100,SwStr%
"Farrow, Evan",Right,OLE_REB,Sinker,55,-0.01730288154171152,0.01730288154171152,98.51288166401827,98.19613270893988,4.420999999999999,90.18955327272728,2334.679899745455,244.6375585090909,5.866376000000001,1.4478756363636365,6.647419814814815,8.300614545454545,14.672000181818182,,,,8.038181818181817,9.090909090909092
"Farrow, Evan",Right,OLE_REB,Slider,37,-0.011545994009001222,0.011545994009001222,95.79815433394987,95.39886224484341,4.090999999999999,77.8319691891892,2712.0664175405404,71.13973305405405,5.725361621621621,1.6592027027027028,5.790132162162163,-3.2958794594594596,-13.509718108108109,-12.635510810810803,-17.51316945945946,-25.75294810810811,11.056756756756755,13.513513513513514
"Gibson, Grayson",Left,OLE_REB,All,722,-0.01273185539674108,0.01273185539674108,96.89742215883372,96.82505871206754,37.91,83.6494922299169,2300.5188050844877,177.80923856786703,5.420518545706371,-1.6206312603878115,5.821805786208944,8.225058628808865,-5.257642119113573,-8.268977057471266,-12.932376735632184,-14.812796712643678,5.2506925207756225,14.40443213296399
"Gibson, Grayson",Left,OLE_REB,ChangeUp,136,-0.007588035551477699,0.007588035551477699,99.35692794649476,98.63916298558607,10.302,81.17711691176471,1842.8047226985295,106.54729380147059,5.285434485294117,-1.6077010294117646,6.166445367647059,6.3301283823529415,-16.254459558823527,-7.501343088235295,-9.723341617647058,2.1014195588235287,7.575,15.441176470588236
"Gibson, Grayson",Left,OLE_REB,Curveball,4,-0.0072815239453346125,0.0072815239453346125,76.17702651265799,76.03685838565778,1.593,74.6253725,2327.534141,309.66189675,5.5890325,-1.2606275,5.5187925,-4.7740975,7.793265,-14.053087500000004,-20.8275675,-21.946305,39.825,0.0
"Gibson, Grayson",Left,OLE_REB,Cutter,105,-0.014363788582308051,0.014363788582308051,108.76302609329309,112.61300282385957,1.4999999999999996,83.38362190476191,2473.9283293333333,198.8315766380952,5.42834780952381,-1.7058390476190477,5.857593428571429,5.614561142857142,1.0474442857142858,-5.294838095238097,-10.438908857142858,-15.200484285714287,1.4285714285714282,13.333333333333334
"Gibson, Grayson",Left,OLE_REB,Fastball,282,-0.015942101717461542,0.015942101717461542,94.68587626857206,92.47693267531159,16.738,88.62103070921985,2317.5032438226954,136.3350010886525,5.511704078014184,-1.6334094680851063,5.772773821428571,16.103447127659575,-14.178107765957446,,,,5.935460992907801,11.347517730496454
"Gibson, Grayson",Left,OLE_REB,Sinker,5,-0.013938472817518735,0.013938472817518735,89.0509465952288,86.43061766616765,0.522,85.13552999999999,1965.6849280000001,111.4683194,5.4229,-1.50429,6.089772,7.928934000000001,-16.957078,,,,10.440000000000001,0.0
"Gibson, Grayson",Left,OLE_REB,Slider,190,-0.010830199032161368,0.010830199032161368,92.5047311126041,94.8107113182927,7.254999999999999,78.3381862631579,2515.3483391684213,277.7266486894737,5.373934736842105,-1.5744731578947369,5.627440263157895,-0.3876548421052632,12.402347157894736,-10.340273736842107,-16.441124842105264,-26.55538715789474,3.8184210526315785,19.473684210526315
"Hancock, Owen",Right,OLE_REB,All,640,-0.014664217401020868,0.014664217401020868,101.39171659149325,104.56207301731115,48.077999999999996,89.29972404293355,2281.998503972818,182.326186425,5.908058120213964,0.9213193676801803,6.081364092561799,13.512466562077702,3.0865660015484235,-8.442851085526318,-8.890643980263157,-12.751362467105263,7.512187499999999,14.531250000000002
"Hancock, Owen",Right,OLE_REB,ChangeUp,18,-0.001738731122442267,0.001738731122442267,74.80880777721534,78.9944198314937,2.901,86.93761444444445,1728.430203388889,227.66448066666666,5.795707222222222,0.9298333333333333,6.1776205555555554,10.972908333333333,10.830887777777779,-6.433005555555558,-6.785451666666666,1.5644277777777775,16.116666666666664,11.11111111111111
"Hancock, Owen",Right,OLE_REB,Cutter,271,-0.01614385751100962,0.01614385751100962,116.95324890159517,119.0411005041712,14.328,84.9070834317343,2430.6635971992623,149.5452878708487,5.886269446494465,0.9954197047970479,5.960275111111112,8.764596974169741,-4.283271697416975,-8.463536568265685,-8.993763025830258,-13.549731697416975,5.287084870848708,21.771217712177123
"Hancock, Owen",Right,OLE_REB,Fastball,336,-0.014056592788134401,0.014056592788134401,89.38314270572394,88.76632561904397,27.677,93.25530249249249,2178.996550867868,208.37312976190475,5.936785645645646,0.8727317717717717,6.1707671253822625,17.71485990990991,9.03218033033033,,,,8.23720238095238,9.226190476190476
"Hancock, Owen",Right,OLE_REB,Slider,15,-0.017053427610175215,0.017053427610175215,121.13824514068436,119.63492930079966,3.1719999999999997,82.889672,2567.641529933333,136.7102698,5.793031333333333,0.6607186666666666,6.150902666666667,8.204502666666666,-6.23998,-10.480948000000001,-9.553857333333333,-15.50644,21.146666666666665,6.666666666666667
"Hayes, Terry",Right,OLE_REB,All,620,-0.01236378856150382,0.01236378856150382,95.52079685852665,93.9670160016992,50.70099999999999,86.96050562903226,2211.4201501338707,157.25448556612903,6.592513161290322,1.3257002258064516,5.636593965487339,9.903905193548388,0.8927971935483872,-8.78475967647059,-16.030481529411766,-8.298768882352942,8.177580645161289,11.935483870967742
